"temp","history","you","other","person","groupnumber","round","stage","treatment","source","id","coop","ocoop","pay","delta","suggestion","first_stage","first_round","rd","sgpe","game_type","dec_round"
1,"History",1,2,10,8,5,1,"3","230321_1349",2,1,0,"normal","high","GT",1,0,0,1,1,1
1,"History",1,2,10,8,5,2,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,1
1,"History",1,2,10,8,5,3,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,1
1,"History",1,2,10,8,5,4,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,2,10,8,5,5,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,2,10,8,5,6,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,2,10,8,5,7,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,2,10,8,5,8,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,2,10,8,5,9,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,2,10,8,5,10,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,2,10,8,5,11,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,1,10,6,6,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,2
1,"History",1,2,10,6,6,2,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,2
1,"History",1,2,10,6,6,3,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,7,1,"3","230321_1349",2,0,0,"normal","high","GT",1,0,0,1,1,2
1,"History",2,1,10,9,8,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,2
1,"History",1,1,10,9,8,2,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,2
1,"History",1,1,10,9,8,3,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,2
1,"History",1,1,10,9,8,4,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,2
1,"History",1,1,10,9,8,5,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,2
1,"History",1,1,10,9,8,6,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,2
1,"History",1,2,10,9,8,7,"3","230321_1349",2,1,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,1,"3","230321_1349",2,0,0,"normal","high","GT",1,0,0,1,1,2
1,"History",2,2,10,9,9,2,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,3,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,4,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,5,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,6,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,7,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,8,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,9,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,10,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,11,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,12,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,13,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,14,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,15,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,10,9,9,16,"3","230321_1349",2,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,1,10,11,10,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,2
1,"History",1,1,10,11,10,2,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,2
1,"History",1,1,10,11,10,3,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,2
1,"History",1,1,10,11,10,4,"3","230321_1349",2,1,1,"normal","high","GT",0,0,0,1,1,2
1,"History",2,1,10,8,11,1,"3","230321_1349",2,0,1,"normal","high","GT",1,0,0,1,1,3
